horizon,feature,importance
1,vix_lag1,0.04000820815563202
1,vix_lag5,0.022695669531822206
1,vix_lag21,-0.00980467051267624
1,vix_roll_mean5,0.09734544157981873
1,vix_roll_std21,-0.00942917913198471
1,fedfunds,-0.018914821743965148
1,cpi,-0.013153915107250214
1,unrate,-0.010626249015331268
1,gs10,-0.019645003974437712
1,indpro,-0.010190853476524353
1,m2sl,-0.010938309133052826
1,sentiment,-0.010627430677413941
5,vix_lag1,0.04484749883413315
5,vix_lag5,0.028851108253002168
5,vix_lag21,0.008298653364181518
5,vix_roll_mean5,0.09598833322525024
5,vix_roll_std21,0.00020923912525177
5,fedfunds,-0.006157052516937256
5,cpi,-0.0023806050419807436
5,unrate,4.125535488128662e-05
5,gs10,-0.006699225306510926
5,indpro,0.0006047591567039489
5,m2sl,-0.0004252016544342041
5,sentiment,3.9824843406677245e-05
10,vix_lag1,0.05115300714969635
10,vix_lag5,0.03760401457548142
10,vix_lag21,0.02240716516971588
10,vix_roll_mean5,0.10019943714141846
10,vix_roll_std21,0.013129839301109314
10,fedfunds,0.006351391971111298
10,cpi,0.011538565158843994
10,unrate,0.013494791090488433
10,gs10,0.00725347101688385
10,indpro,0.01424275040626526
10,m2sl,0.012861794233322144
10,sentiment,0.012948974967002869
